Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,soil_ph,NDVI_early,NDVI_mid,NDVI_late,NDVI_std,NDVI_prev_season,EVI_Season,LAI_Season,FPAR_Season,LST_Season,Soil_Moisture_Season
177321,0.8510272331,Bagerhat,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,150905,40,12.0,60,85,57.0,0.2093828623516599,0.42936616441082,0.5377701709634322,0.1435068715918753,0.2670404721298456,0.34209629417539644,2.4493495911304928,5.194348201899057,300.77548995092445,24.98865018022523
25646,1.175777899,Bandarban,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,30154,40,12.0,60,85,55.0,0.4365742393395427,0.5387153591391703,0.7658263714527735,0.1650760909242936,0.2612788417491431,0.6267061280666395,3.795502637430494,7.086273363466731,301.2821192208384,24.89448376356686
231401,0.7705887183,Barguna,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,178315,40,12.0,60,85,57.0,0.2099802275666429,0.3565053605883999,0.5681901097552411,0.1870942866387383,0.3323424160378924,0.3686113103181862,1.3924427439178686,4.599207361819035,301.16029724740207,25.001685270293812
302665,0.7571043893,Barishal,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,229149,40,12.0,60,85,,0.1933459589530938,0.3458494890191011,0.4517905621466174,0.1418560705841844,0.309535002934125,0.3492046842213674,1.666513728382288,5.000588717435254,301.34250055303863,24.761800757799193
388575,1.100652384,Bhola,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,427686,40,12.0,60,85,56.0,0.1700006675577468,0.2258498120190653,0.3458072626711267,0.1339289927385362,0.1946286534864403,0.2988032817472406,1.6114679355295605,4.713200940353698,300.7444194516447,24.555353489600808
443007,1.192475514,Bogura,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,528275,40,12.0,60,85,,0.1186313763339489,0.3304685349223847,0.4005603994411503,0.1740992308002523,0.2764687680682978,0.39581087526015746,1.402483894672792,4.5554094836012045,301.97701637362525,24.161166863470456
174588,1.014634454,Brahmanbaria,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,177143,40,12.0,60,85,54.0,0.0571539099837129,0.2681596937960988,0.4089960858969574,0.1449947258711497,0.2371168297003784,0.2957036685365155,1.1567789684645737,4.038354420018139,301.8157104668364,24.667182189241544
90004,0.7804430914,Chandpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,70243,40,12.0,60,85,,0.2069406843342435,0.3381655668751687,0.4589020629096388,0.1315113191456884,0.244284950998653,0.3621395481726002,2.102857298919637,5.66915540370036,301.35924941278415,24.100208537324566
140665,1.127252693,Chapai Nawabganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,158565,40,12.0,60,85,,0.372994229085631,0.3733450873553156,0.4515605583311328,0.1089270762284498,0.2662611383381359,0.38676389654199983,1.370298409440946,4.722650555418401,302.55793774188834,22.083472856807838
444857,0.9779996718,Chattogram,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,435070,40,12.0,60,85,,0.2968827150300339,0.4499071181374028,0.5954364512295394,0.159569104045667,0.291756878234579,0.4746561492125459,2.065777479539561,5.499040438854776,302.2800626417348,24.784240779427783
