Area,AP Ratio,District,Season,Avg Temp,Avg Humidity,Crop Name,Transplant,Growth,Harvest,Production,Max Temp,Min Temp,Max Relative Humidity,Min Relative Humidity,soil_ph,NDVI_early,NDVI_mid,NDVI_late,NDVI_std,NDVI_prev_season,EVI_Season,LAI_Season,FPAR_Season,LST_Season,Soil_Moisture_Season,pH,Organic_Carbon,Nitrogen,Clay,Sand,Silt,Bulk_Density,valid_points,grid_log,Latitude,Longitude,Rainfall,Temp_Mean,Temp_Max,Temp_Min,Heat_Stress_Days,Year
177321,0.8510272331,Bagerhat,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,150905,40,12.0,60,85,57.0,0.3322320113952958,0.5819243960646939,0.636331651680986,0.1085499500559148,0.4773728042860747,0.3420962941753964,2.4493495911304928,5.194348201899057,300.77548995092445,0.4781951078093797,5.8,33.63,4.82,28.72,22.08,49.2,1.23,5,✅⚠️✅✅✅,22.6554781,89.7941813,1451.65,27.76869918699187,33.57,18.56,0,2022
25646,1.175777899,Bandarban,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,30154,40,12.0,60,85,55.0,0.7048488405997357,0.7807951000050394,0.8381787771351699,0.0802098836818029,0.5338118677153775,0.6267061280666395,3.795502637430494,7.086273363466731,301.2821192208384,0.34410403802495054,5.5,18.91,1.99,29.82,38.59,31.59,1.23,5,✅✅✅✅✅,21.787476,92.4124752,1354.97,26.04878048780488,32.68,17.05,0,2022
231401,0.7705887183,Barguna,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,178315,40,12.0,60,85,57.0,0.4347514140365293,0.5604716815947058,0.7010467526458031,0.1130925808633169,0.503722857351117,0.3686113103181862,1.3924427439178686,4.599207361819035,301.16029724740207,0.4675636879771134,5.7,28.09,2.86,29.33,22.4,48.27,1.26,5,✅✅✅⚠️⚠️,22.1313358,90.1172431,1785.97,28.12731707317073,32.51,20.84,0,2022
302665,0.7571043893,Barishal,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,229149,40,12.0,60,85,55.0,0.4420591619535452,0.5756369148849467,0.6083973435741631,0.069000269473509,0.5674954078578924,0.3492046842213674,1.666513728382288,5.000588717435254,301.34250055303863,0.3787397863108679,5.5,40.9,2.69,28.4,25.57,46.05,1.26,5,⚠️⚠️✅✅✅,22.4934035,90.3548015,1601.92,27.991219512195123,32.47,19.53,0,2022
388575,1.100652384,Bhola,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,427686,40,12.0,60,85,56.0,0.3817821922141233,0.428104100023682,0.4966173689351341,0.0828879867742515,0.4061875299080897,0.2988032817472406,1.6114679355295605,4.713200940353698,300.7444194516447,0.34939698550396414,5.6,20.69,2.03,31.66,27.14,41.22,1.28,3,✅✅❌❌✅,22.1435694,90.7904089,2272.77,28.43642276422764,31.57,21.83,0,2022
443007,1.192475514,Bogura,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,528275,40,12.0,60,85,61.0,0.2481550224831858,0.5024158564928275,0.5273166342392404,0.1626320679236443,0.4760111617211566,0.3958108752601574,1.402483894672792,4.5554094836012045,301.97701637362525,0.2944428151881478,6.1,15.58,1.32,36.99,20.28,42.73,1.33,5,⚠️✅✅✅✅,24.8500662,89.3728431,913.65,27.936585365853656,34.8,18.46,0,2022
174588,1.014634454,Brahmanbaria,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,177143,40,12.0,60,85,54.0,0.2669504783216218,0.4586823055412913,0.5267181292028575,0.1073143978025716,0.518904880145564,0.2957036685365155,1.1567789684645735,4.038354420018139,301.8157104668364,0.3548379636872045,5.4,26.99,2.91,33.88,26.92,39.18,1.24,5,⚠️✅⚠️✅✅,23.9605999,91.1190893,1124.16,27.68121951219512,33.87,18.72,0,2022
90004,0.7804430914,Chandpur,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,70243,40,12.0,60,85,54.0,0.4423591274390235,0.5846867279607637,0.574981082432174,0.0655703702506498,0.5507255443580819,0.3621395481726002,2.102857298919637,5.66915540370036,301.3592494127841,0.328901959831878,5.4,32.77,3.39,34.82,27.04,38.14,1.23,5,⚠️✅⚠️✅✅,23.2241763,90.6531005,1311.38,27.853658536585368,32.95,19.15,0,2022
140665,1.127252693,Chapai Nawabganj,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,158565,40,12.0,60,85,68.0,0.4312343388403079,0.5660812225729742,0.5399844098107315,0.0804696328516199,0.539880300832818,0.3867638965419998,1.370298409440946,4.722650555418401,302.55793774188834,0.23001512825806722,6.8,13.2,1.17,37.53,19.55,42.92,1.32,5,⚠️⚠️✅✅✅,24.5998869,88.2850466,667.02,28.46113821138212,37.9,17.77,17,2022
444857,0.9779996718,Chattogram,Kharif 2,26.0,72.5,Aman,June,July to  Oct,Nov to Dec,435070,40,12.0,60,85,52.0,0.5924662139732982,0.684947655997839,0.6766652992192586,0.0660767689828896,0.6054097113351958,0.4746561492125459,2.065777479539561,5.499040438854776,302.2800626417348,0.33125853558031265,5.2,21.73,1.8,31.18,29.5,39.32,1.27,4,⚠️✅✅✅❌,22.333778,91.8344348,1450.75,28.04821138211382,34.55,19.76,0,2022
