District_Name,NDVI_Average_2022
Bagerhat,0.539178019290518
Bandarban,0.7544276195663536
Barguna,0.4938982734293046
Barisal,0.49026580537371484
Bhola,0.38383564027716066
Bogra,0.5035591749977412
Brahamanbaria,0.4888778207523359
Chandpur,0.5116253484802809
Chittagong,0.6231180168244926
Chuadanga,0.5993207109333162
Comilla,0.5849100251762824
Cox's Bazar,0.5564700671781457
Dhaka,0.47707310476569625
Dinajpur,0.5350154096851386
Faridpur,0.5403948745132138
Feni,0.6079333423899455
Gaibandha,0.46955418129523063
Gazipur,0.5726753212339125
Gopalganj,0.5999583330838023
Habiganj,0.5177705846332965
Jamalpur,0.5060122528242409
Jessore,0.5558990530681507
Jhalokati,0.5999505050388176
Jhenaidah,0.5873417915986712
Joypurhat,0.5484830355753174
Khagrachhari,0.7228848125952069
Khulna,0.4810487399567621
Kishoreganj,0.4296342393635017
Kurigram,0.43563549276468455
Kushtia,0.5426256116556837
Lakshmipur,0.48796039404041364
Lalmonirhat,0.5416314249145728
Madaripur,0.5507964219402293
Magura,0.5796934660416558
Manikganj,0.4885878983327077
Maulvibazar,0.5785853794907123
Meherpur,0.5954919092634166
Munshiganj,0.5104597391085941
Mymensingh,0.5440483562798021
Naogaon,0.5400767363049858
Narail,0.5558787439665844
Narayanganj,0.4799866795141254
Narsingdi,0.5566398367850287
Natore,0.5542445616967604
Nawabganj,0.5307268272903881
Netrakona,0.4504485589839341
Nilphamari,0.5409088777541581
Noakhali,0.5492113625336924
Pabna,0.5411885845249736
Panchagarh,0.5697164031434486
Patuakhali,0.466983483055623
Pirojpur,0.5699903774152315
Rajbari,0.5207057425811
Rajshahi,0.5181451090861913
Rangamati,0.7128789037506368
Rangpur,0.5510848627509669
Satkhira,0.44886777711716946
Shariatpur,0.505573538900856
Sherpur,0.539585317869009
Sirajganj,0.44845155484709265
Sunamganj,0.3471950309762871
Sylhet,0.46363332884236663
Tangail,0.5527958139774023
Thakurgaon,0.5675966185334692
