State,Station_ID,Date,Year,Month,Precipitation_mm,Attributes
Connecticut,GHCND:US1CTFR0009,2015-01-01T00:00:00,2015,01,120.4,",,,N"
Connecticut,GHCND:US1CTFR0020,2015-01-01T00:00:00,2015,01,104.9,"1,,,N"
Connecticut,GHCND:US1CTFR0023,2015-01-01T00:00:00,2015,01,107.4,"1,,,N"
Connecticut,GHCND:US1CTHR0005,2015-01-01T00:00:00,2015,01,103.3,"1,,,N"
Connecticut,GHCND:US1CTHR0006,2015-01-01T00:00:00,2015,01,86.0,"5,,,N"
Connecticut,GHCND:US1CTHR0008,2015-01-01T00:00:00,2015,01,101.0,",,,N"
Connecticut,GHCND:US1CTHR0009,2015-01-01T00:00:00,2015,01,91.2,"1,,,N"
Connecticut,GHCND:US1CTHR0011,2015-01-01T00:00:00,2015,01,104.9,"4,,,N"
Connecticut,GHCND:US1CTHR0015,2015-01-01T00:00:00,2015,01,107.5,",,,N"
Connecticut,GHCND:US1CTHR0018,2015-01-01T00:00:00,2015,01,111.0,",,,N"
Connecticut,GHCND:US1CTHR0022,2015-01-01T00:00:00,2015,01,102.4,",a,,N"
Connecticut,GHCND:US1CTLT0007,2015-01-01T00:00:00,2015,01,118.4,"3,a,,N"
Connecticut,GHCND:US1CTMD0002,2015-01-01T00:00:00,2015,01,84.0,"5,,,N"
Connecticut,GHCND:US1CTMD0005,2015-01-01T00:00:00,2015,01,96.8,"1,a,,N"
Connecticut,GHCND:US1CTNH0014,2015-01-01T00:00:00,2015,01,94.0,",,,N"
Connecticut,GHCND:US1CTNH0016,2015-01-01T00:00:00,2015,01,93.1,",,,N"
Connecticut,GHCND:US1CTNL0005,2015-01-01T00:00:00,2015,01,136.2,"2,a,,N"
Connecticut,GHCND:US1CTWN0004,2015-01-01T00:00:00,2015,01,77.3,"4,,,N"
Connecticut,GHCND:US1CTWN0008,2015-01-01T00:00:00,2015,01,154.3,",,,N"
Connecticut,GHCND:USC00060227,2015-01-01T00:00:00,2015,01,118.9,",,,7"
Connecticut,GHCND:USC00060299,2015-01-01T00:00:00,2015,01,96.1,",,,7"
Connecticut,GHCND:USC00060808,2015-01-01T00:00:00,2015,01,96.1,",,,7"
Connecticut,GHCND:USC00060973,2015-01-01T00:00:00,2015,01,103.5,",,,7"
Connecticut,GHCND:USC00061508,2015-01-01T00:00:00,2015,01,93.7,"5,a,,7"
Connecticut,GHCND:USC00061762,2015-01-01T00:00:00,2015,01,86.0,",,,7"
Connecticut,GHCND:USC00063207,2015-01-01T00:00:00,2015,01,76.6,"1,,,7"
Connecticut,GHCND:USC00063420,2015-01-01T00:00:00,2015,01,94.0,",,,7"
Connecticut,GHCND:USC00065077,2015-01-01T00:00:00,2015,01,94.5,",,,7"
Connecticut,GHCND:USC00065445,2015-01-01T00:00:00,2015,01,106.1,",,,7"
Connecticut,GHCND:USC00065910,2015-01-01T00:00:00,2015,01,67.3,",,,7"
Connecticut,GHCND:USC00067432,2015-01-01T00:00:00,2015,01,127.7,"1,a,,7"
Connecticut,GHCND:USC00067958,2015-01-01T00:00:00,2015,01,118.4,",,,7"
Connecticut,GHCND:USC00067970,2015-01-01T00:00:00,2015,01,101.9,",,,7"
Connecticut,GHCND:USC00068138,2015-01-01T00:00:00,2015,01,83.1,",a,,7"
Connecticut,GHCND:USC00068330,2015-01-01T00:00:00,2015,01,106.1,",,,7"
Connecticut,GHCND:USC00069388,2015-01-01T00:00:00,2015,01,97.8,",a,,7"
Connecticut,GHCND:USW00014707,2015-01-01T00:00:00,2015,01,31.3,",,,W"
Connecticut,GHCND:USW00014740,2015-01-01T00:00:00,2015,01,82.0,",,,W"
Connecticut,GHCND:USW00014752,2015-01-01T00:00:00,2015,01,74.0,",,,W"
Connecticut,GHCND:USW00014758,2015-01-01T00:00:00,2015,01,62.6,",,,W"
Connecticut,GHCND:USW00054734,2015-01-01T00:00:00,2015,01,92.2,",,,W"
Connecticut,GHCND:USW00054767,2015-01-01T00:00:00,2015,01,64.6,"1,,,W"
Connecticut,GHCND:USW00054788,2015-01-01T00:00:00,2015,01,65.4,",,,W"
Connecticut,GHCND:USW00094702,2015-01-01T00:00:00,2015,01,104.5,",,,W"
Connecticut,GHCND:US1CTFR0009,2015-02-01T00:00:00,2015,02,59.4,",,,N"
Connecticut,GHCND:US1CTFR0020,2015-02-01T00:00:00,2015,02,30.1,"3,,,N"
Connecticut,GHCND:US1CTFR0023,2015-02-01T00:00:00,2015,02,57.2,",,,N"
Connecticut,GHCND:US1CTHR0005,2015-02-01T00:00:00,2015,02,71.7,"1,,,N"
Connecticut,GHCND:US1CTHR0006,2015-02-01T00:00:00,2015,02,79.7,"1,,,N"
Connecticut,GHCND:US1CTHR0008,2015-02-01T00:00:00,2015,02,71.5,",,,N"
Connecticut,GHCND:US1CTHR0009,2015-02-01T00:00:00,2015,02,71.2,",a,,N"
Connecticut,GHCND:US1CTHR0011,2015-02-01T00:00:00,2015,02,43.5,"4,,,N"
Connecticut,GHCND:US1CTHR0015,2015-02-01T00:00:00,2015,02,78.9,",,,N"
Connecticut,GHCND:US1CTHR0022,2015-02-01T00:00:00,2015,02,72.3,",,,N"
Connecticut,GHCND:US1CTNH0014,2015-02-01T00:00:00,2015,02,73.1,",,,N"
Connecticut,GHCND:US1CTNH0016,2015-02-01T00:00:00,2015,02,54.3,"1,,,N"
Connecticut,GHCND:US1CTWN0002,2015-02-01T00:00:00,2015,02,82.2,"1,,,N"
Connecticut,GHCND:US1CTWN0004,2015-02-01T00:00:00,2015,02,57.5,"2,,,N"
Connecticut,GHCND:US1CTWN0008,2015-02-01T00:00:00,2015,02,109.4,",,,N"
Connecticut,GHCND:USC00060227,2015-02-01T00:00:00,2015,02,70.7,",,,7"
Connecticut,GHCND:USC00060299,2015-02-01T00:00:00,2015,02,61.5,",,,7"
Connecticut,GHCND:USC00060808,2015-02-01T00:00:00,2015,02,55.0,",,,7"
