Year,District,Area,Rainfall,Temperature,Humidity,Soil_Type,Irrigation,Crops,Season,NDVI,Wind_Speed,Yield,Price,RainTemp_Interaction
2004,Dakshina Kannada,1279,2340.5099999999998,25.57016393442623,57.0,Alluvial,Drip,Coconut,Kharif,0.4841222222222223,14.093704918032786,2570.0,200000,59847.22439016393
2004,Dakshina Kannada,13283,2340.5099999999998,25.57016393442623,57.5,Alluvial,Drip,Coconut,Kharif,0.4841222222222223,14.093704918032786,27170.0,4847,59847.22439016393
2004,Dakshina Kannada,52119,2340.5099999999998,25.57016393442623,57.0,Alluvial,Drip,Coconut,Kharif,0.4841222222222223,14.093704918032786,114744.0,51239,59847.22439016393
2004,Dakshina Kannada,725,2340.5099999999998,25.57016393442623,55.0,Alluvial,Drip,Coconut,Kharif,0.4841222222222223,14.093704918032786,1402.0,216396,59847.22439016393
2004,Dakshina Kannada,12885,2340.5099999999998,25.57016393442623,56.0,Alluvial,Drip,Coconut,Kharif,0.4841222222222223,14.093704918032786,23456.0,2644,59847.22439016393
2004,Dakshina Kannada,51179,2340.5099999999998,25.57016393442623,54.0,Alluvial,Drip,Coconut,Kharif,0.4841222222222223,14.093704918032786,107809.0,44235,59847.22439016393
2004,Dakshina Kannada,468,2340.5099999999998,25.57016393442623,58.0,Alluvial,Drip,Coconut,Kharif,0.4841222222222223,14.093704918032786,1132.0,203317,59847.22439016393
2004,Dakshina Kannada,11841,2340.5099999999998,25.57016393442623,58.0,Alluvial,Drip,Coconut,Kharif,0.4841222222222223,14.093704918032786,23960.0,2134,59847.22439016393
2004,Dakshina Kannada,50975,2340.5099999999998,25.57016393442623,59.0,Alluvial,Drip,Coconut,Kharif,0.4841222222222223,14.093704918032786,126487.0,45186,59847.22439016393
2004,Dakshina Kannada,206,2340.5099999999998,25.57016393442623,50.0,Alluvial,Drip,Coconut,Kharif,0.4841222222222223,14.093704918032786,804.0,238542,59847.22439016393
2004,Dakshina Kannada,10922,2340.5099999999998,25.57016393442623,54.0,Alluvial,Drip,Coconut,Kharif,0.4841222222222223,14.093704918032786,30362.0,1516,59847.22439016393
2004,Dakshina Kannada,51390,2340.5099999999998,25.57016393442623,53.0,Alluvial,Drip,Coconut,Kharif,0.4841222222222223,14.093704918032786,124492.0,57259,59847.22439016393
2004,Dakshina Kannada,177,2340.5099999999998,25.57016393442623,52.0,Alluvial,Drip,Coconut,Kharif,0.4841222222222223,14.093704918032786,792.0,234779,59847.22439016393
2004,Dakshina Kannada,10723,2340.5099999999998,25.57016393442623,51.0,Alluvial,Drip,Coconut,Kharif,0.4841222222222223,14.093704918032786,34153.0,1493,59847.22439016393
2004,Kodagu,51709,1891.42,22.584344262295083,57.0,Alluvial,Drip,Coconut,Kharif,0.5597888888888889,9.002655737704918,132551.0,64409,42716.48042459017
2004,Kodagu,146,1891.42,22.584344262295083,57.0,Alluvial,Drip,Coconut,Kharif,0.5597888888888889,9.002655737704918,338.0,249978,42716.48042459017
2004,Kodagu,10910,1891.42,22.584344262295083,60.0,Alluvial,Drip,Coconut,Kharif,0.5597888888888889,9.002655737704918,22966.0,637,42716.48042459017
